axis:latitude,axis:longitude,axis:time,axis:z,data:u,data:v,data:w
49.5,-50.49999999999997,"2000-01-15T00:00:00",10.0,5.937192916870117,0.11202297359704971,11.47663688659668
49.5,-50.49999999999997,"2000-02-15T00:00:00",10.0,4.743940353393555,0.5978343486785889,10.427130699157715
49.5,-50.49999999999997,"2000-03-16T00:00:00",10.0,3.575047731399536,-0.9129931330680847,9.554756164550781
49.5,-50.49999999999997,"2000-04-15T00:00:00",10.0,1.7229785919189453,-0.20937982201576233,8.131121635437012
49.5,-50.49999999999997,"2000-05-15T00:00:00",10.0,1.2662155628204346,0.24141182005405426,6.245646953582764
49.5,-50.49999999999997,"2000-06-15T00:00:00",10.0,2.1460843086242676,0.9425407648086548,5.74296760559082
49.5,-50.49999999999997,"2000-07-15T00:00:00",10.0,1.8298293352127075,2.6227529048919678,5.481565952301025
49.5,-50.49999999999997,"2000-08-15T00:00:00",10.0,2.0974442958831787,1.6682549715042114,5.771543025970459
49.5,-50.49999999999997,"2000-09-15T00:00:00",10.0,2.6578564643859863,0.5432454347610474,6.9756059646606445
49.5,-50.49999999999997,"2000-10-15T00:00:00",10.0,2.8377273082733154,0.14493028819561005,8.257330894470215
49.5,-50.49999999999997,"2000-11-15T00:00:00",10.0,3.541229486465454,0.3676983118057251,9.56771183013916
49.5,-50.49999999999997,"2000-12-15T00:00:00",10.0,4.33088493347168,0.3587786853313446,10.558120727539062
